Fecha;Precio_m2
01/02/2026;2407
01/01/2026;2409
01/12/2025;2392
01/11/2025;2336
01/10/2025;2319
01/09/2025;2282
01/08/2025;2262
01/07/2025;2251
01/06/2025;2236
01/05/2025;2185
01/04/2025;2163
01/03/2025;2128
01/02/2025;2101
01/01/2025;2079
01/12/2024;2067
01/11/2024;2042
01/10/2024;2033
01/09/2024;2008
01/08/2024;1979
01/07/2024;1960
01/06/2024;1942
01/05/2024;1944
01/04/2024;1914
01/03/2024;1886
01/02/2024;nd
01/01/2024;1816
01/12/2023;1807
01/11/2023;1804
01/10/2023;1803
01/09/2023;1807
01/08/2023;1782
01/07/2023;1765
01/06/2023;1746
01/05/2023;1711
01/04/2023;1664
01/03/2023;1633
01/02/2023;1626
01/01/2023;1606
01/12/2022;1587
01/11/2022;1570
01/10/2022;1561
01/09/2022;1548
01/08/2022;1526
01/07/2022;1502
01/06/2022;1485
01/05/2022;1485
01/04/2022;1483
01/03/2022;1460
01/02/2022;1433
01/01/2022;1422
01/12/2021;1426
01/11/2021;1434
01/10/2021;1439
01/09/2021;1439
01/08/2021;1439
01/07/2021;1432
01/06/2021;1418
01/05/2021;1406
01/04/2021;1392
01/03/2021;1384
01/02/2021;1380
01/01/2021;1378
01/12/2020;1385
01/11/2020;1385
01/10/2020;1382
01/09/2020;1385
01/08/2020;1389
01/07/2020;1403
01/06/2020;1408
01/05/2020;1402
01/04/2020;1388
01/03/2020;1382
01/02/2020;1388
01/01/2020;1397
01/12/2019;1371
01/11/2019;1353
01/10/2019;1354
01/09/2019;1370
01/08/2019;1369
01/07/2019;1391
01/06/2019;1383
01/05/2019;1371
01/04/2019;1353
01/03/2019;1354
01/02/2019;1349
01/01/2019;1351
01/12/2018;1353
01/11/2018;1353
01/10/2018;1337
01/09/2018;1337
01/08/2018;1313
01/07/2018;1304
01/06/2018;1289
01/05/2018;1286
01/04/2018;1273
01/03/2018;1271
01/02/2018;1262
01/01/2018;1247
01/12/2017;1238
01/11/2017;1231
01/10/2017;1235
01/09/2017;1235
01/08/2017;1235
01/07/2017;1227
01/06/2017;1215
01/05/2017;1211
01/04/2017;1201
01/03/2017;1202
01/02/2017;1199
01/01/2017;1199
01/12/2016;1191
01/11/2016;1191
01/10/2016;1192
01/09/2016;1180
01/08/2016;1176
01/07/2016;1177
01/06/2016;1169
01/05/2016;1166
01/04/2016;1164
01/03/2016;1156
01/02/2016;1160
01/01/2016;1148
01/12/2015;1140
01/11/2015;1113
01/10/2015;1126
01/09/2015;1118
01/08/2015;1107
01/07/2015;1077
01/06/2015;1073
01/05/2015;1073
01/04/2015;1072
01/03/2015;1064
01/02/2015;1074
01/01/2015;1071
01/12/2014;1065
01/11/2014;1057
01/10/2014;1061
01/09/2014;1052
01/08/2014;1057
01/07/2014;1053
01/06/2014;1049
01/05/2014;1032
01/04/2014;1033
01/03/2014;1045
01/02/2014;1060
01/01/2014;1055
01/12/2013;1060
01/11/2013;1055
01/10/2013;1058
01/09/2013;1060
01/08/2013;1060
01/07/2013;1066
01/06/2013;1081
01/05/2013;1085
01/04/2013;1082
01/03/2013;1086
01/02/2013;1086
01/01/2013;1086
01/12/2012;1113
01/11/2012;1119
01/10/2012;1120
01/09/2012;1115
01/08/2012;1115
01/07/2012;1133
01/06/2012;1137
01/05/2012;1154
01/04/2012;1174
01/03/2012;1169
01/02/2012;1187
01/01/2012;1195
01/12/2011;1198
01/11/2011;1220
01/10/2011;1242
01/09/2011;1246
01/08/2011;1251
01/07/2011;1256
01/06/2011;1273
01/05/2011;1285
01/04/2011;1287
01/03/2011;1299
01/02/2011;1304
01/01/2011;1331
01/12/2010;1355
01/11/2010;1376
01/10/2010;1367
01/09/2010;1346
01/08/2010;1337
01/07/2010;1340
01/06/2010;1353
01/05/2010;1363
01/04/2010;1382
01/03/2010;1357
01/02/2010;1337
01/01/2010;1329
01/12/2009;1347
01/11/2009;1361
01/10/2009;1394
01/09/2009;1392
01/08/2009;1405
01/07/2009;1454
01/06/2009;1444
01/05/2009;1445
01/04/2009;1445
01/03/2009;1433
01/02/2009;1431
01/01/2009;1435
01/12/2008;1461
01/11/2008;1461
01/10/2008;1445
01/09/2008;1431
01/08/2008;1474
01/07/2008;1484
01/06/2008;1459
01/05/2008;1437
01/04/2008;1427
01/03/2008;1422
01/02/2008;1397
01/01/2008;1428
01/12/2007;1436
01/11/2007;1469
01/10/2007;1529
01/09/2007;1534
01/08/2007;1512
01/07/2007;1511
01/06/2007;1543
01/05/2007;1549
01/04/2007;1510
01/03/2007;1577
01/02/2007;1509
01/01/2007;1509
01/12/2006;1575
01/11/2006;1623
01/10/2006;1678
01/09/2006;nd
01/08/2006;nd
01/07/2006;nd
01/06/2006;nd
01/05/2006;nd
01/04/2006;nd
01/03/2006;nd
01/02/2006;nd
01/01/2006;nd
