fecha;mun_orig;destino;turistas
2019-07-01;Torrevieja;Total;2268
2019-07-01;Torrevieja;Europa;2040
2019-07-01;Torrevieja;Unión Europea;1605
2019-07-01;Torrevieja;América;117
2019-07-01;Torrevieja;América del Norte;48
2019-07-01;Torrevieja;Centro América y Caribe;30
2019-07-01;Torrevieja;Sudamérica;39
2019-07-01;Torrevieja;Asia;57
2019-07-01;Torrevieja;Bélgica;61
2019-07-01;Torrevieja;Dinamarca;31
2019-07-01;Torrevieja;Francia;665
2019-07-01;Torrevieja;Irlanda;34
2019-07-01;Torrevieja;Italia;186
2019-07-01;Torrevieja;Noruega;30
2019-07-01;Torrevieja;Países Bajos;50
2019-07-01;Torrevieja;Polonia;39
2019-07-01;Torrevieja;Portugal;113
2019-07-01;Torrevieja;Reino Unido;265
2019-07-01;Torrevieja;Alemania;172
2019-07-01;Torrevieja;Rumanía;59
2019-07-01;Torrevieja;Suecia;43
2019-07-01;Torrevieja;Suiza;30
2019-07-01;Torrevieja;Rusia;38
2019-07-01;Torrevieja;Marruecos;44
2019-07-01;Torrevieja;Estados Unidos de América;31
2019-08-01;Torrevieja;Total;2998
2019-08-01;Torrevieja;Europa;2719
2019-08-01;Torrevieja;Unión Europea;2141
2019-08-01;Torrevieja;América;154
2019-08-01;Torrevieja;América del Norte;85
2019-08-01;Torrevieja;Centro América y Caribe;34
2019-08-01;Torrevieja;Sudamérica;35
2019-08-01;Torrevieja;Asia;77
2019-08-01;Torrevieja;Austria;40
2019-08-01;Torrevieja;Bélgica;76
2019-08-01;Torrevieja;Bulgaria;51
2019-08-01;Torrevieja;Finlandia;75
2019-08-01;Torrevieja;Francia;702
2019-08-01;Torrevieja;Grecia;31
2019-08-01;Torrevieja;Islandia;34
2019-08-01;Torrevieja;Italia;220
2019-08-01;Torrevieja;Noruega;40
2019-08-01;Torrevieja;Países Bajos;52
2019-08-01;Torrevieja;Polonia;59
2019-08-01;Torrevieja;Portugal;277
2019-08-01;Torrevieja;Reino Unido;314
2019-08-01;Torrevieja;Alemania;238
2019-08-01;Torrevieja;Rumanía;45
2019-08-01;Torrevieja;Suecia;71
2019-08-01;Torrevieja;Ucrania;32
2019-08-01;Torrevieja;Croacia;30
2019-08-01;Torrevieja;Rusia;51
2019-08-01;Torrevieja;Marruecos;33
2019-08-01;Torrevieja;Estados Unidos de América;60
2019-08-01;Torrevieja;Turquía;30
2019-09-01;Torrevieja;Total;3327
2019-09-01;Torrevieja;Europa;2846
2019-09-01;Torrevieja;Unión Europea;2236
2019-09-01;Torrevieja;África;180
2019-09-01;Torrevieja;América;225
2019-09-01;Torrevieja;América del Norte;121
2019-09-01;Torrevieja;Centro América y Caribe;32
2019-09-01;Torrevieja;Sudamérica;72
2019-09-01;Torrevieja;Austria;35
2019-09-01;Torrevieja;Bélgica;92
2019-09-01;Torrevieja;Bulgaria;50
2019-09-01;Torrevieja;Dinamarca;50
2019-09-01;Torrevieja;Francia;706
2019-09-01;Torrevieja;Grecia;42
2019-09-01;Torrevieja;Hungría;36
2019-09-01;Torrevieja;Italia;340
2019-09-01;Torrevieja;Noruega;51
2019-09-01;Torrevieja;Países Bajos;89
2019-09-01;Torrevieja;Polonia;44
2019-09-01;Torrevieja;Portugal;204
2019-09-01;Torrevieja;Andorra;47
2019-09-01;Torrevieja;Reino Unido;315
2019-09-01;Torrevieja;Alemania;269
2019-09-01;Torrevieja;Rumanía;52
2019-09-01;Torrevieja;Suecia;79
